site,plot,plot_id,day,temp,par,reco,gpp,r10
A,1,A1,Dienstag,9.95,597.3333333333334,3.020084725936629,8.144803113,3.0292239535418264
A,1,A1,Donnerstag,11.9,1208.6666666666667,4.860488208882319,15.49032393,4.333254401840243
A,2,A2,Dienstag,10.3,550,3.76080546798729,8.919398661,3.6932383531481685
A,2,A2,Donnerstag,12.25,1130,5.689057656757872,15.65913166,4.9657956079578325
A,3,A3,Dienstag,10.3,381,4.36943057107095,5.528913195,4.290928819334474
A,3,A3,Donnerstag,12.05,1203.3333333333333,5.272061418856403,14.17310731,4.657769446238999
B,1,B1,Dienstag,10.65,769.6666666666666,4.19780853286362,10.90501174,4.036112892088562
B,1,B1,Donnerstag,13,1326.6666666666667,5.316623479215212,12.44041826,4.435071012371923
B,2,B2,Dienstag,11.05,725,3.8815706374509262,12.51611581,3.642924155879507
B,2,B2,Donnerstag,13.35,853.3333333333334,6.340006982661426,16.72241164,5.178078393387708
B,3,B3,Dienstag,10.95,765.6666666666666,5.277734342277703,14.00225005,4.983272914603323
B,3,B3,Donnerstag,13.05,1118.3333333333333,5.921533375341022,15.65393826,4.924777330750839
C,1,C1,Montag,10.25,510.3333333333333,2.108995587180598,4.045255844,2.077372574629365
C,1,C1,Dienstag,10.1,380,2.156472946541711,2.139422589,2.1434803339616413
C,2,C2,Montag,10.7,491.3333333333333,3.1996521404730243,7.41726998,3.067122973777292
C,2,C2,Dienstag,10.149999999999999,379,2.7502485912730212,4.191112,2.7254309568582014
C,3,C3,Montag,9.350000000000001,497.3333333333333,2.155926792841546,4.797412856,2.242298005330659
C,3,C3,Dienstag,9.8,359.6666666666667,1.49384610262479,2.215940129,1.5120107544302457
D,1,D1,Montag,10.7,619.6666666666666,4.225361474824874,8.230417206,4.050347563730149
D,1,D1,Dienstag,11.25,600,2.8265835989873795,6.752499545,2.620930160074652
D,2,D2,Montag,10.75,483.3333333333333,1.561085611787673,4.435570133,1.4919109077732375
D,2,D2,Dienstag,11.25,547,3.1673382865666158,6.614721563,2.9368925954978202
D,3,D3,Montag,11.399999999999999,586.3333333333334,3.4404944309939816,5.977644327,3.1613873170470566
D,3,D3,Dienstag,11.850000000000001,602.3333333333334,2.297560315895317,6.304257713,2.0545346484729876
